,E,rec,sr
1471,64600, 0.716 , 0.621 
1472,64700, 0.728 , 0.325 
1473,64800, 0.685 , 0.515 
1474,64900, 0.782 , 0.364 
1475,65000, 0.920 , 0.364 
1490,65100, 0.639 , 0.320 
1491,65200, 0.652 , 0.344 
1492,65300, 0.715 , 0.363 
1493,65400, 0.948 , 0.406 
1494,65500, 0.585 , 0.239 
1495,65600, 0.761 , 0.281 
1496,65700, 0.829 , 0.348 
1497,65800, 0.562 , 0.653 
1498,65900, 0.529 , 0.536 
1499,66000, 0.751 , 0.391 
1514,66100, 1.047 , 0.547 
1515,66200, 0.691 , 0.591 
1516,66300, 0.905 , 0.570 
1517,66400, 0.820 , 0.488 
1518,66500, 0.799 , 0.490 
1519,66600, 0.946 , 0.515 
1520,66700, 0.837 , 0.457 
1521,66800, 0.595 , 0.482 
1522,66900, 0.935 , 0.474 
1523,67000, 0.754 , 0.457 
1538,67100, 0.777 , 0.415 
1539,67200, 0.852 , 0.326 
1540,67300, 0.714 , 0.212 
1541,67400, 0.717 , 0.390 
1542,67500, 0.730 , 0.434 
1543,67600, 0.978 , 0.321 
1544,67700, 0.714 , 0.392 
1545,67800, 1.196 , 0.321 
1546,67900, 0.791 , 0.291 
1547,68000, 0.765 , 0.252 
1562,68100, 0.753 , 0.374 
1563,68200, 0.799 , 0.498 
1564,68300, 0.788 , 0.428 
1565,68400, 0.689 , 0.268 
1566,68500, 0.593 , 0.380 
1567,68600, 0.683 , 0.580 
1568,68700, 0.720 , 0.513 
1569,68800, 0.658 , 0.501 
1570,68900, 0.780 , 0.455 
1571,69000, 0.920 , 0.437 
1586,69100, 0.897 , 0.164 
1587,69200, 0.811 , 0.473 
1588,69300, 0.650 , 0.339 
1589,69400, 0.675 , 0.362 
1590,69500, 1.098 , 0.494 
1591,69600, 0.884 , 0.385 
1592,69700, 0.858 , 0.272 
1593,69800, 0.639 , 0.483 
1594,69900, 0.921 , 0.302 
1595,70000, 0.786 , 0.298 
1610,70100, 0.764 , 0.389 
1611,70200, 1.004 , 0.567 
1612,70300, 0.752 , 0.397 
1613,70400, 0.918 , 0.397 
1614,70500, 0.661 , 0.363 
1615,70600, 0.827 , 0.525 
1616,70700, 0.780 , 0.282 
1617,70800, 0.792 , 0.391 
1618,70900, 0.885 , 0.310 
1619,71000, 0.732 , 0.235 
1634,71100, 0.772 , 0.237 
1635,71200, 0.790 , 0.508 
1636,71300, 0.652 , 0.455 
1637,71400, 0.865 , 0.238 
1638,71500, 0.733 , 0.319 
1639,71600, 0.700 , 0.329 
1640,71700, 0.797 , 0.406 
1641,71800, 0.748 , 0.327 
1642,71900, 0.594 , 0.698 
1643,72000, 0.625 , 0.273 
1658,72100, 0.659 , 0.369 
1659,72200, 0.685 , 0.232 
1660,72300, 0.875 , 0.610 
1661,72400, 0.773 , 0.269 
1662,72500, 0.514 , 0.475 
1663,72600, 1.026 , 0.537 
1664,72700, 0.851 , 0.468 
1665,72800, 0.804 , 0.452 
1666,72900, 0.885 , 0.471 
1667,73000, 0.690 , 0.605 
1682,73100, 0.853 , 0.263 
1683,73200, 0.665 , 0.458 
1684,73300, 0.759 , 0.600 
1685,73400, 0.705 , 0.365 
1686,73500, 0.870 , 0.303 
1687,73600, 0.846 , 0.418 
1688,73700, 0.787 , 0.229 
1689,73800, 0.629 , 0.582 
1690,73900, 0.736 , 0.406 
1691,74000, 0.578 , 0.395 
1706,74100, 0.830 , 0.308 
1707,74200, 0.872 , 0.496 
1708,74300, 0.824 , 0.487 
1709,74400, 0.939 , 0.519 
1710,74500, 0.843 , 0.498 
1711,74600, 0.633 , 0.528 
1712,74700, 1.010 , 0.260 
1713,74800, 0.808 , 0.343 
1714,74900, 0.777 , 0.401 
1715,75000, 0.621 , 0.386 
1730,75100, 0.850 , 0.476 
1731,75200, 0.835 , 0.393 
1732,75300, 0.516 , 0.377 
1733,75400, 0.851 , 0.269 
1734,75500, 0.922 , 0.240 
1735,75600, 0.829 , 0.348 
1736,75700, 0.888 , 0.942 
1737,75800, 0.812 , 0.398 
1738,75900, 0.691 , 0.262 
1739,76000, 0.773 , 0.412 
1754,76100, 0.494 , 0.347 
1755,76200, 0.765 , 0.697 
1756,76300, 0.738 , 0.422 
1757,76400, 1.020 , 0.319 
1758,76500, 0.809 , 0.429 
1759,76600, 0.790 , 0.388 
1760,76700, 0.628 , 0.271 
1761,76800, 0.886 , 0.294 
1762,76900, 0.836 , 0.260 
1763,77000, 0.792 , 0.442 
1778,77100, 1.008 , 0.432 
1779,77200, 0.653 , 0.305 
1780,77300, 0.764 , 0.294 
1781,77400, 0.816 , 0.329 
1782,77500, 0.692 , 0.302 
1783,77600, 1.016 , 0.326 
1784,77700, 0.743 , 0.207 
1785,77800, 0.784 , 0.429 
1786,77900, 0.749 , 0.476 
1787,78000, 0.616 , 0.393 
1802,78100, 0.906 , 0.192 
1803,78200, 0.678 , 0.566 
1804,78300, 0.660 , 0.164 
1805,78400, 0.819 , 0.472 
1806,78500, 0.539 , 0.578 
1807,78600, 0.554 , 0.331 
1808,78700, 0.867 , 0.387 
1809,78800, 0.662 , 0.376 
1810,78900, 0.805 , 0.196 
1811,79000, 0.781 , 0.585 
1826,79100, 0.625 , 0.383 
1827,79200, 0.888 , 0.353 
1828,79300, 0.764 , 0.369 
1829,79400, 0.734 , 0.371 
1830,79500, 0.699 , 0.390 
1831,79600, 0.911 , 0.334 
1832,79700, 0.676 , 0.406 
1833,79800, 0.785 , 0.285 
1834,79900, 0.680 , 0.522 
1835,80000, 1.173 , 0.400 
